GroupID,BlockName-Short,BlockName-Full,BlockLocation,BlockGrpDetails,Neighborhood,FireDistrict,FireDistrictLocation,Org Level,StageCode,MAP-Staff,Added from,Date Added
A10,Acton-1300-1400,Acton Earthquake Action,1300-1400 block of Action btwn Gilman&creek/dead end,,Central,6,"999 Cedar Street, 94710",O,2,green,Lynn Email,8/2/2011
A12,Acton-Francisco,Acton between Francisco-Delaware,1700 block,,Central,6,"999 Cedar Street, 94710",O,1,?,Meeting 4-2-09,4/9/2009
A123,Acton-2200,2200 Acton/Bancroft Ct,Acton between Allston&Bancroft,,Central,1,"2442 Eighth Street, 94710",O,1,?,Meeting 8-31-09,9/27/2009
A124,Acton-Allston,Acton-Allston,?,,Central,1,"2442 Eighth Street, 94710",?,?,?,?,3/7/2009
A13,Ada-Ordway CERT,Ada-Ordway-Acton,"Ada, Rose to Hopkins&Miramonte Ct; Sacto fr Rose to Hopkins",,Central,6,"999 Cedar Street, 94710",O,2,red,Email,3/7/2009
A18,Arch-1400,1400 Arch Street,1400 block Arch Street btwn Rose&Vine,,Northeast,7,"3000 Shasta Road, 94708",?,?,?,CN list,7/9/2008
A33,Addison-Byron-Cowper,ABC Neighborhood Group,"1100-1200 Addison, Byron and Cowper Streets, east of San Pablo and west of Curtis",,West,1,"2442 Eighth Street, 94710",O,1,yellow,Meeting 5-30-13,6/17/2013
A34,Addison-1700,,Addison btwn Grant & McGee,20 households; 2 apt bldgs,Central,2,"2029 Berkeley Way, 94704",O,2,green,Email S Brenner,1/30/2020
A44,Allston-1200,Allston Gasline Gang,"Allston fr Curtis to Strawberry Crk Park;parts of Curtis,Browning,Bonar incl BYA",,Central,1,"2442 Eighth Street, 94710",O,3,red,Pam Grossman,7/14/2014
A52,Alameda-500,500 block Alameda,Alameda between ThousOaks-San Ramon&Vallejo,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,Meeting 1-29-09,1/15/2009
A529,Alameda-900,Alameda-Marin-Solano,The Alameda btwn Marin & Solano Aves,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,Meeting 11-17-11,12/13/2011
A53,Alvarado-Bridge Disaster Prep,Alvarado and Bridge Roads,Intersection of Alvarado&Bridge;up and down Alvarado+down Bridge,,Southeast,3,"2710 Russell Street, 94705",CC,4,blue,Lynn + Email list,6/1/2009
A55,Amador Avenue,Amador Avenue,all of Amador btwn Sutter&Shattuck,25 households,Northeast,4,"1900 Marin Avenue, 94707",O,3,red,Pam Grossman,3/18/2009
A82,Arch-1300,1300 Arch Street,1300-1351 Arch St between Rose & Glen,,Northeast,4,"1900 Marin Avenue, 94707",O,3,red,Meeting 11-5-09,11/9/2009
A85,Arlington Avenue-Mendo-Yosemite,Arlington Avenue Neighborhood Group,Arlington from Yosemite to Mendocino w/few houses above Yosemite&a few below Mendocino; some on Somerset Pl.,,Thousand Oaks,4,"1900 Marin Avenue, 94707",CP,4,blue,CN list,7/9/2008
A855,Arlington-Marin Circle-Mendocino,,between Marin Circle & Mendocino Path; 852&843 Arlington; 974 Arlington&965 Mendocino,43 households,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,7/18/2013
B15,Bancroft-Jefferson,BJ Nert,Bancroft (btwn California&McGee)+Jefferson (btwn Allston&Channing),17 houses,Central,2,"2029 Berkeley Way, 94704",O,3,red,Meeting 5-19-11,5/23/2011
B18,Bateman Neighborhood Assn,Bateman Neighborhood Assn,area surrounding Alta Bates Hospital--about 1100 homes,,Southeast,3,"2710 Russell Street, 94705",O,4,blue,Email list,6/1/2009
B20,Bay View Place,Bay View Place,Btwn Rose&Euclid below Rose Garden,,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Meeting 11-17-11,12/11/2012
B25,Belvedere-1600,1600 Belvedere Avenue,1600 block of Belvedere; btwn Cedar&Virginia,,Central,6,"999 Cedar Street, 94710",O,2?,green,CN list,7/9/2008
B26,Berkeley Way-1400,BerkeleyWay,Berkeley Wy btwn Sacramento&Acton,,Central,6,"999 Cedar Street, 94710",?,?,?,,
B27,Berryman-Bonita,Berryman-Bonita,"1900 Berryman, 1200 Bonita",,North,4,"1900 Marin Avenue, 94707",O,2,green,Meeting 1-28-10,1/30/2010
B28,Berryman-2000,Berryman-2000,between Henry&Shattuck,,North,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,9/19/2009
B29,Beverly Place-1500,1500 Beverly Place block,between Monterey&Ventura,,Central,4,"1900 Marin Avenue, 94707",O,3,red,CN list,7/9/2008
B31,Beverly Place-1700,1700 block Beverly Place,between Hopkins&Colusa,,North,4,"1900 Marin Avenue, 94707",O,3,red,Bill Springer,12/15/2016
B37,BFUU,Berkeley Fellowship of Unitarian Universalists,Cedar and Bonita,,Central,2,"2029 Berkeley Way, 94704",?,?,?,Meeting 1-28-09,1/30/2010
B50,Blake-Mabel -BAM,Blake-Mabel Neighborhood Assn,Four blocks bounded by: Dwight to Parker and Mathews to Acton,,West,1,"2442 Eighth Street, 94710",CC,4,blue,Meeting 5-10-12,6/14/2012
B51,Blake-1700,,Blake & Potter Creek,,West,5,"2680 Shattuck Avenue, 94704",?,?,?,,
B66,Benvenue-Woolsey,,3000 block of Benvenue; ?some houses on Woolsey.  Part of Bateman Neighborhood Assn,,Elmwood,3,"2710 Russell Street, 94705",O,2,red,Debbie LeVeen,2/2/2019
B76,Bonita-1300,1300 Bonita/Berryman,1300 Bonita btwn Berryman&Rose,,Central,4,"1900 Marin Avenue, 94707",CC,4,blue,CN list,7/9/2008
B78,Bonita-1600,1600 Bonita-Cedar-Virginia,1600 block of Bonita btwn Cedar-Virginia; some on Virginia&Milvia,,Central,2,"2029 Berkeley Way, 94704",O,2,green,Lynn Email,8/25/2009
B87,Bordertown,Bordertown Neighborhood Group,Shattuck to Adeline; Woolsey to 65th;& inclusive blocks,,South,5,"2680 Shattuck Avenue, 94704",O?,2,green,,
B89,Boynton-Florida,,Boynton Avenue; ?some of Florida?,69 households,Northeast,4,"1900 Marin Avenue, 94707",CC,4,blue,email-Yahoo Grp,8/23/2013
B91,Browning-2200,,2200 block Browning,,West,2,"2029 Berkeley Way, 94704",?,?,?,,
B93,Buena Vista/LaLoma,Buena Vista/LaLomaNeighbor.Group,BV fr Euclid past Maybeck twins;1521 LaLoma to Rose; Rose above Rose walk & Greenwood Terrace+GermanSchool (Hillside School),,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Pam Grossman,5/17/2016
C08,California-1300,1300 California btwn Rose/Ada,13 households; just organizing. Pam to speak. Some shut off valves,,Central,4,"1900 Marin Avenue, 94707",O,1,yellow,Meeting 2-16-12,3/19/2012
C10,California-2300,2300 California Street,2300 block of California,,Central,5,"2680 Shattuck Avenue, 94704",O,2,green,Pam Grossman,3/7/2009
C14,Campus-Parnassus,Campus-Parnassus Neighborhood Group,1450-1590 Campus Drive-to end;all of  Parnassus;e&w of Parnassus Ct; 1-33 Avenida,,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,Meeting 1-29-09,2/1/2009
C15,Campus Drive Neighborhood Group,Campus Drive Neighborhood Group,Campus Drive between Glendale & Avenida,,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,Meeting 11-5-09,9/29/2009
C17,Cap-Mir-Slo,1600 Capistrano-Miramar-San Lorenzo Block Group,1600 Cap+Miramar+1600 SL+2 at inter of Ensenada-Cap,52 houses,Thousand Oaks,4,"1900 Marin Avenue, 94707",CC,4,blue,CN list,7/9/2008
C17.5,Capistrano-1700,Capistrano-1700 block,Capistrano between Ensenada and Colusa,,Thousand Oaks,4,"1900 Marin Avenue, 94707",CC,4,blue,CN contact,11/7/2011
C18,Carlotta-1300,Carlotta Ave Cache,1300 block of Carlotta btwn Hopkins&Rose;1626 Hopkins(4plex);1721 Rose,,Central,4,"1900 Marin Avenue, 94707",CP,4,blue,via email,3/23/2009
C19,Catalina Avenue,Catalina Avenue,?,,Thousand Oaks,4,"1900 Marin Avenue, 94707",?,?,?,TONA 2-12-09,2/17/2009
C45,Cedar-LeRoy,Cedar-LeRoy,Cedar above Euclid to Leroy; Leroy to Hill Ct,20 houses;cache stolen 8-10,Northeast,7,"3000 Shasta Road, 94708",CP,4,blue,Email list,6/1/2009
C54,Channing-Shattuck,Channing betwn Shattuck&Milvia,Channing between Shattuck&Milvia,,Central,5,"2680 Shattuck Avenue, 94704",O,1,?,Meeting 2-16-12,3/13/2012
C55,Channing-5th,Channing-Fifth Street,Fifth btwn Bancroft&Channing; some of Channing,,West,1,"2442 Eighth Street, 94710",O,2,green,Meeting 1-29-09,2/1/2009
C555,Cherry St-Stuart,,Cherry Street + Stuart btwn College&Piedmont,,Southeast,3,"2710 Russell Street, 94705",O,2,green,Pam Grossman,6/23/2012
C557,Chestnut-1800,,1800 Chestnut btwn Delaware&Hearst,,Central,5,"2680 Shattuck Avenue, 94704",?,?,green,Pam Grossman,12/3/2012
C56,Eton Court-Claremont,Claremont-Eton Court,Eton Court off of Claremont; some houses on Claremont,,Southeast,3,"2710 Russell Street, 94705",O,2,green,CERT 2-7-09,2/8/2009
C57,Claremont Elmwood Neighborhood,Claremont Elmwood Neighborhood,city cache-no response,,Southeast,3,"2710 Russell Street, 94705",CC?,4,blue?,Email list,6/1/2009
C63,Codornices-LeRoy Neighborhood,Codornices-LeRoy Neighborhood,some of LeRoy and some of Hawthorne,,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Pam  Grossman,3/7/2009
C65,Colusa Corner Neigh. Grp-1100,Colusa Corner Neighborhood Group,1100 blk Colusa btwn Beverly Pl/Posen; 6 houses on Posen Ave(1600 block),26 houses,North,4,"1900 Marin Avenue, 94707",O,3,red,Lynn Email,11/9/2011
C76,Contra Costa Avenue,Contra Costa Avenue Disaster Preparedness Group,All of Contra Costa Avenue,,Thousand Oaks,4,"1900 Marin Avenue, 94707",CC,4,blue,CN list,7/9/2008
C79,Cornell-1600,1600 Cornell,1600 blk of Cornell btwn Virginia&Cedar,,North,6,"999 Cedar Street, 94710",?,?,?,Meeting 11-17-11,12/7/2011
C79.5,Cornell-1400,1400 Cornell,1400 Cornell blk;1439-1443 Santa Fe; 3 on Hopkins,,North,6,"999 Cedar Street, 94710",CC,4,blue,Pam Grossman,1/27/2012
C79.8,Cornell-1200,1200 Cornellians,1200 block of Cornell,,North,6,"999 Cedar Street, 94710",O,2,green,Pam Grossman,2/12/2012
C80,Cragmont-Santa Barbara,,Cragmont frm Euclid to Santa Barbara; Santa Barbara fr Cragmont to Spruce,,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Donna Asif,8/13/2019
C81,Cragmont-1000,CACHE Cragmont Ave Can Handle Emergencies,"CACHE Cragmont-1000, between Euclid and Bret Harte",,Northeast,7,"3000 Shasta Road, 94708",CP?,4,blue,Pam Grossman,3/23/2009
C82,Cragmont-500,?,500 block Cragmont btwn Alta&Acacia,,Northeast,7,"3000 Shasta Road, 94708",?,1,?,Meeting 3-11-10,3/11/2010
C83,Cragmont-600,CHANGE,"Cragmont 600 block between Halkin and Acacia. ""Crag-Halkin-Acacia-Neighbor Grp Emergs""",,Northeast,7,"3000 Shasta Road, 94708",O,3,red,Pam Grossman,1/30/2015
C84,Creston Road-North,Creston Road 600-800,Creston Road north of Marin,,Northeast,7,"3000 Shasta Road, 94708",O,2,green,CERT 2-7-09,2/8/2009
C85,Creston Road-Mid EmPrep,Mid Creston Rd,900-1030 Creston;3 on Grizzly Peak; 4 addr on Forest Ln+ 1on Marin,,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,Meeting 1-29-09,2/1/2009
C98,Curtis-Hearst,Curtis-Hearst Neighborhood Group,"Curtis betwn University & Delaware, Hearst fr San Pablo to Chestnut",,Central,6,"999 Cedar Street, 94710",O,1,yellow,CN list,7/9/2008
D31,Deakin Street,Deakin Street Neighbors Group,Deakin between Russell & Ashby,,South,5,"2680 Shattuck Avenue, 94704",O,2,green,?Meeting?,
D35,Delaware-1100,Delaware Street Neighborhood Association,Delaware btwn San Pablo&Curtis,,Central,6,"999 Cedar Street, 94710",?,?,?,CN list,7/9/2008
D36,Delaware Apt-2050,,Delaware at Shattuck; apt building,,Central,2,"2029 Berkeley Way, 94704",?,?,?,Email 8-25-14,8/26/2014
D38,Del/Cal/McGee,Delaware/California/McGee Neighborhood Group,1500-1700 Delaware; 1800 bl California;1800 bl McGee,75 households,Central,2,"2029 Berkeley Way, 94704",CC,4,blue,Lynn email,9/22/2009
D39,DerbyActMab,Derby-1300-Acton-Mabel-2700,"1300 Derby, Acton and Mabel",,West,1,"2442 Eighth Street, 94710",CC,4,blue,Meeting 1-28-10,1/30/2010
D85,Dwight-Curtis,,Dwight (part  of 1100 block)+Curtis (Dwight to Chaucer),,South,1,"2442 Eighth Street, 94710",O,2,green,Email,12/1/2016
E35,Edith-1400-1500,,Edith St btwn Rose & Cedar,,North,4,"1900 Marin Avenue, 94707",CC,4,blue,Meeting,11/16/2019
E43,El Camino Real,El Camino Real,?no response,,Southeast,3,"2710 Russell Street, 94705",CC?,4,blue?,Email list,6/1/2009
E45,El Dorado-Lassen,El Dorado-Lassen Neighborhood Group,El Dorado and Lassen off Marin-MLK,,Northeast,4,"1900 Marin Avenue, 94707",O,3,red,CERT 2-7-09,2/8/2009
E51,Ellsworth-2700,Ellsworth between Ward&Stuart,Ellsworth betwn Ward&Stuart,,Central,5,"2680 Shattuck Avenue, 94704",?,0,?,Email message,7/28/2014
E57,Ensenada-Peralta-Portland-Colusa 600,PEPC,Ensenada btwn Peralta & Portland; 600 blk of Peralta; 600 blk of Colusa; north side of Portland btwn Colusa&Ensenada,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,Meeting 1-29-09,2/1/2009
E80,Etna Street,NENA,Etna between Parker & Dwight Way; some interest on other side of Dwight; southern blk of Etna,,South Campus,3,"2710 Russell Street, 94705",O,2,green,Website regis,1/19/2019
E81,Euclid-700,Euclid-Poplar-Cragmont,700 block of Euclid;upper-lower Poplar;some adjacent on Cragmont,,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Pam Grossman,6/6/2016
E82,Euclid-800,800 Euclid,800 block of Euclid-first block north of Marin,,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Pam Grossman,3/7/2009
E83,Euclid-900,948-1039 Euclid;Cragmont to Regal,900 block of Euclid - between Cragmont & Regal;,40-50 houses;some org,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Meeting 11-18-10,11/23/2010
E84,Euclid-1000,Euclid Bend Neighborhood Network,Euclid betwn Keith&Eunice;Keith betwn Euclid&Bret Harte,,Northeast,7,"3000 Shasta Road, 94708",O,1,green,Lynn email,10/21/2015
E86,Eunice-Arch-Glen,Eunice-Arch,Eunice btwn Spruce/Euclid; Arch fr Oak to Eunice; Glen fr Oak to Summer,,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,Meeting 5-19-11,5/23/2011
F25,"Fairlawn, Lower",Lower Fairlawn,1345 Queens Rd+9-100 Fairlawn Drive,,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,Meeting 1-28-10,1/30/2010
F26,Fairlawn-Avenida-Senior,FASHNA,Fairlawn btwn Avenida and Senior,,Northeast,7,"3000 Shasta Road, 94708",O,1,yellow,Lynn email,2/9/2012
F45,Florence-Regent-Russell,Russell-Florence-Regent Neighborhood Group,Florence; Russell (Telegraph-Regent); Regent (Russell-Ashby),c 50 households;some apts,Southeast,3,"2710 Russell Street, 94705",CC,4,blue,Website 9-6-20,9/7/2020
F56,Forest Avenue,Forest Ave WATCH,2800-2900 blocks Forest Ave btwn Piedmont&Claremont,,Southeast,5,"2680 Shattuck Avenue, 94704",O,2,green,Website,8/16/2017
F62,Francisco-1600-1700,Francisco 1600-1700 Block Assn,Francisco between Grant & McGee,,Central,2,"2029 Berkeley Way, 94704",O,2,green,Meeting 11-5-09,11/9/2009
F63,Francisco-Curtis,Francisco-Curtis,?,,Central,6,"999 Cedar Street, 94710",?,?,?,Meeting 3-10-11,3/31/2011
F65,Fresno-1000,1000 Fresno,Fresno between Marin & Monterey,50 houses?,North,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,10/19/2016
F66,Fresno-1100,,1100 block of Fresno btwn Monterey&Sonoma,,North,4,"1900 Marin Avenue, 94707",?,1,?,,
F85,Fulton-Russell Neighbor. Assn,Fulton-Russell Neighbor. Assn,"Fulton btwen Ruseel/Ashby; 2155-2207 Ashby,north side; 2824-2934 ; 2146-2218 Russell, bth sides; 2178 Oregon",,Southeast,5,"2680 Shattuck Avenue, 94704",CP,4,blue,email to BDPNN,11/5/2009
G27,Garber 2700-2800,2700-2800 Garber,2700 and 2800 blocks of Garber,,Southeast,3,"2710 Russell Street, 94705",O,3+,red,Meeting 2-16-12,3/1/2012
G65,Grant-1500,,1500 block Grant btwn Vine&Cedar,,Central,4,"1900 Marin Avenue, 94707",O,2,green,,
G75,Grizzly Peak-Shasta to Latham,Grizzly Peak-Shasta to Latham,"Shasta to Latham; part of Muir, Stoddard",c. 50 households,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Pam Grossman,11/14/2009
G76,Grizzly Peak-North,GP-Spruce to Keeler former 600-726 (Jeepydeepies),Grizzly Peak btwn Spruce&Keeler,,Northeast,7,"3000 Shasta Road, 94708",O,2+,green,Meeting 9-16-10,9/18/2010
G77,Grizzly Peak-Avenida,Grizzly Peak-Avenida Neighborhood Group,"1400 block of Grizzly Peak, between Senior & Avenida; 4 houses on Avenida",,Northeast,7,"3000 Shasta Road, 94708",O,4,blue,Meeting 5-19-11,5/23/2011
G82?,Grant-Roosevelt,,Grant and Roosevelt between Allston&Bancroft,,Central,2,"2029 Berkeley Way, 94704",?,0,?,Meeting 5-30-13,6/17/2013
H21,Hill-Atlas-Ajax-Summit-Summit,HAASS,"Hill Rd, Atlas Pl, Ajax Pl, Summit Rd, Summit Ln",,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,Meeting 1-29-09,2/1/2009
H22,Hillside Fire Safety Group,Hillside Fire Safety,,Fire protection group-multiple block groups,North,7,"3000 Shasta Road, 94708",z,z,zna,,
H25,Halcyon,Halcyon Neighborhood Association,Telegraph between Ashby&Woolsey/Oakland border; west beyond Deakin,assn area divided into block captains,South,5,"2680 Shattuck Avenue, 94704",CC,4,blue,Fall '08 contact,11/1/2008
H29,Hawthorne Terrace,VSHC,Hawthorne Terrace btwn Vine&Cedar;?some of Scenic,,North,4,"1900 Marin Avenue, 94707",O,2,green,,
H30,Hearst-2100,2100 Hearst,2100 block of Hearst betwn Shattuck&Oxford,,Central,2,"2029 Berkeley Way, 94704",?,?,?,Meeting 11-17-11,12/11/2011
H30.2,Hearst-1500-1600,SOOP,"1500-1600 blks Hearst; California, Hearst to Berkeley Wy; McGee, Hearst to Berkeley Wy",75 households,Central,2,"2029 Berkeley Way, 94704",O,2,green,Email,3/18/2020
H30.5,Hearst-1400,Hearst-Acton-Short Neighborhood,"Hearst to Sacramento, Delaware, Acton and Berkeley Way",,Central,6,"999 Cedar Street, 94710",CC,4,blue,Meeting 9-29-16,11/19/2016
H31,Henry 1300-1384,LOPTOA group,1300-1384 Henry betwn Berryman&Rose; set of tpwn houses,,North,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,2/16/2016
H33,Henry-1500,Henry St apt complex,Btwn Vine&Cedar 6iunit apt bldg; back of Safeway,,Central,4,"1900 Marin Avenue, 94707",?,?,?,Norine Email,11/5/2011
H55,Hillegass-3000,,Hillegass Ave between Webster & Woolsey;?possibly Ashby to Webster,,Central,3,"2710 Russell Street, 94705",O,3,red,Training-Sandy (4-27-14),5/20/2014
H60,Hopkins-1500,,Hopkins between Sacramento & Gilman,,North,6,"999 Cedar Street, 94710",?,?,?,,
H60.5,Hopkins-1600,,Hopkins btwn Colusa & Carlotta,,North,4,"1900 Marin Avenue, 94707",?,?,?,Website regis 11-22-17,11/23/2017
H61,Hopkins-Stannage-Cornell,Hopkins-Stannage-Cornell,?,,North,6,"999 Cedar Street, 94710",?,1,?,Meeting 11-23-10,11/23/2010
H77,"Holly, Lower",LoHo-Holly (lower)-Cedar,lower part of Holly between Buena and Cedar,,North,4,"1900 Marin Avenue, 94707",O,2,green,Meeting 1-29-09,2/1/2009
J35,Jefferson-2100,2100 Jefferson,2100 block of Jefferson,,North,2,"2029 Berkeley Way, 94704",?,?,?,CN list,7/9/2008
J38,Jewish Community Center,Jewish Community Center,1414 Walnut Street,,Central,4,"1900 Marin Avenue, 94707",?,?,?,Email request,12/7/2011
J68,Josephine-Grant,Josephine/Grant Emergency Prep Group,1200&1300 Josephine blocks; 1400 Grant block (3 blocks),,Central,4,"1900 Marin Avenue, 94707",CC,4,blue,CN list,7/9/2008
K55,Keeler (North)?,??,?not clear-?stolen cache,,Northeast,7,"3000 Shasta Road, 94708",CC?,4,blue?,Email list,6/1/2009
K56,Keeler-Mid/Lower,Keeler-Mid/Lower,Middle&lower (south) Keeler between Bret Harte & Shasta+ 66 Twain; 1095-1199 Keeler;2835 Shasta,c.50 houses,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,Lynn email,9/29/2009
K57,Keith-Gateway,Gateway Keith,1000-1067 Keith;1 block btwn Spruce&Euclid,,Northeast,7,"3000 Shasta Road, 94708",CP,4,blue,Meeting 11-5-09,11/9/2009
K58,Keith-Shasta Preparedness Gr.,SHAKE 'n BAKE,2701-2800 Shasta; 1140-1202 Keith,,Northeast,7,"3000 Shasta Road, 94708",CP,4,blue,Meeting 11-05-09,11/9/2009
K584,Kentucky-400,,Kentucky Ave btwn Michigan&Maryland,46 households,Northeast,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,1/29/2018
K585,Kentucky-Vassar,,Kentucky&Vassar ??boundaries?,,Northeast,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,4/3/2012
K59,Keoncrest-Catherine,Keoncrest-Catherine,"all of Keoncrest and all of Catherine, south of Rose; west of Sacramento",,North,6,"999 Cedar Street, 94710",O,2,green,From Yahoo Group,3/19/2012
L23,LaVera Condo Assn,LaVera Condo Assn,1400 block Walnut,,Central,4,"1900 Marin Avenue, 94707",O,1,?,Meeting 9-16-10,9/18/2010
L42,LeConte Neighborhood Assn,Le Conte Neighborhood Association,"area around LeConte school, between Ashby and Telegraph",,Southeast,5,"2680 Shattuck Avenue, 94704",O,4,blue,Meeting 10-15-13,
L56,Lincoln 1500,1500 Lincoln,1500 block of Lincoln,23,Central,2,"2029 Berkeley Way, 94704",O,3,red,Meeting 3-11-10,3/27/2010
L57,Linden Avenue,Linden Avenue Block Group,Linden Ave btwn Ashby & Webster,24 households,Southeast,3,"2710 Russell Street, 94705",O,3,red,Meeting 5-20-10,5/22/2010
L75,Lorina Street,Lorina Street Safe Shakes,"all of Lorina, few houses on Russell and Church by Side of the Road",24 houses,South,5,"2680 Shattuck Avenue, 94704",O,2,green,Meeting 7-30-15,8/5/2015
L78,"Los Angeles, Upper",Upper Los Angeles Avenue,Spruce to the Marin Circle,,Northeast,4,"1900 Marin Avenue, 94707",CC,4,blue,CN list,7/9/2008
L79,"Los Angeles, Lower",Lower Los Angeles,Los Angeles btwn Marin Circle & The Alameda,,Northeast,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,1/10/2012
M26,Marin Avenue-2000/2100,Shamrock,2000-2100 Marin,,Northeast,4,"1900 Marin Avenue, 94707",O,?,?,Meeting 11-05-09,11/9/2009
M27,Mariposa-Terrace Walk,Mariposa Avenue,Mariposa Ave and Terrace Walk,,Northeast,4,"1900 Marin Avenue, 94707",O,4,blue,Meeting 1-29-09,2/1/2009
M278,MLK-1500,1500 MLK-Cedar-Vine,1500 block of MLK btwn Cedar&Vine,,North,4,"1900 Marin Avenue, 94707",O,2,green,City Mtg 10-15-13,12/2/2013
M29,Mathews,Mathews Street,Mathews St ?between ? And ?,,West,1,"2442 Eighth Street, 94710",CC,4,blue,Email list,6/1/2009
M292,Mathews-Blake,Mathews-Blake,?,,West,1,"2442 Eighth Street, 94710",?,0,?,Meeting 10-24-13,10/30/2013
M30,McGee-1300,McGee-Rose-Hopkins,McGee btwn Rose & Hopkins; 1300 block of McGee,,North,4,"1900 Marin Avenue, 94707",CC,4,blue,Meeting 11-17-11,12/7/2011
M31,McGee-1400,McGee-Buena-Cypress,McGee between Rose&Buena;Buena btwn McGee&Cypress incl Buena Ct; both sides of Cypress; west corner of McGee&Buena; 1732 Rose,,North,4,"1900 Marin Avenue, 94707",CC,4,blue,Email/Mtg,3/17/2017
M31.5,McGee-1600,McGee Neighbors NA,1600 McGee btwn Cedar & Lincoln,,Central,2,"2029 Berkeley Way, 94704",O,2,?,,
