GroupID,BlockName-Short,BlockName-Full,BlockLocation,BlockGrpDetails,Neighborhood,FireDistrict,FireDistrictLocation,Org Level,StageCode,MAP-Staff,Added from,Date Added
M32,McKInley-2400,2400 block McKinley,McKinley btwn Channing&Dwight,,Central,5,"2680 Shattuck Avenue, 94704",O,3,red,Pam Grossman,1/26/2015
M33,McKinley-2300,2300 McKinley,McKinley btwn Bancroft&Channing,,Central,5,"2680 Shattuck Avenue, 94704",O,4,blue,Meeting,9/19/2016
M35,Mendocino Avenue,Mendocino Avenue Neighborhood Group,all of Mendocino Ave,,Thousand Oaks,4,"1900 Marin Avenue, 94707",CC,4,blue,CN list,7/9/2008
M45,Menlo-ThousOaks-Alameda,Menlo Place-Thousand Oaks-Alameda,1-90 Menlo Pl; 1720-1797 Thousand Oaks; 540-597 The Alameda; 555-598 Santa Rosa,,Thousand Oaks,4,"1900 Marin Avenue, 94707",CC,4,blue,Email,4/11/2010
M512,Miller-1000-1100,,Miller Ave between 1090-1133,27 households;part of SWATM NeighborhoodWatch,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Pam Grossman,11/18/2015
M52,Michigan Avenue,Michigan Avenue,Michigan Avenue between Spruce & Maryland,,Northeast,4,"1900 Marin Avenue, 94707",O,3,red,Lynn Email,9/15/2009
M53,"Michigan, Lower",Lower Michigan Avenue,Michigan Avenue between Maryland & Colorado,,,4,"1900 Marin Avenue, 94707",O,2,green,Email 5-12-20,5/16/2020
M531,Milvia-1200-Yolo,MilviaxYolo Neighborhood Watch,1200 block of Milvia btwn Berryman & Yolo btwn The Alameda&Sutter;2000 blk Eunice,,Central,4,"1900 Marin Avenue, 94707",O,2+,red,Meeting 3-11-10,3/24/2010
M532,Milvia-1300,1300 Milvia-Berryman,"1300 Milvia betwn Rose and Berryman, pt of Berryman, Rose",,Central,4,"1900 Marin Avenue, 94707",?,?,?,Meeting 1/28/10,1/30/2010
M533,Milvia-1400-1500,1400-1500 Milvia,Milvia between Rose and Cedar; Cedar betwn Bonita&Milvia,,North,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,12/27/2013
M65,Monterey-Posen,Monterey Posen Junction Emergency Prep Group,1200 blk Monterey; a few houses on 1600 blk of Posen (intersection of Monterey/Posen),12 households,North,4,"1900 Marin Avenue, 94707",O,2,green,Solano Stroll 2019,9/16/2019
N53,Neilson-500,500 block of Neilson,between Visalia&Thousand Oaks Blvd,,Thousand Oaks,4,"1900 Marin Avenue, 94707",CC,4,blue,Meeting 8-31-09,9/27/2009
N532,Neilson-600,600 Neilson Neighborhood Watch,between Thousand Oaks & Portland+1500 blk Portland,,Thousand Oaks,4,"1900 Marin Avenue, 94707",CC,4,blue,Solano Stroll,1/13/2011
N54,Neilson-700,700 Neilson,between Portland&Washington,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,3,red,Pam Grossman,3/7/2009
N55,Neilson-1200,1200 Neilson-Gilman,between Francis&Watkins,,Central,6,"999 Cedar Street, 94710",O,1,yellow,Meeting 8-31-09,9/27/2009
N63,Ninth St -1900,Ninth & Hearst,"Ninth St - 1900/1800 block; bwtwn University,Hearst; Delaware;some houses on Hearst",,West,1,"2442 Eighth Street, 94710",O,2,green,email (Kromer/Greenberg),4/21/2020
N65,Northampton Avenue,Northampton Avenue,Northampton+bit of Santa Barbara&Sprucel,,Northeast,4,"1900 Marin Avenue, 94707",CC,4,blue,Email request,6/15/2009
N76,"Hillside, North",North Hillside Disaster Prep Group,Euclid btwn Hawthorne Terr&Buena Vista Wy; Buena Vista btwn Euclid&LeRoy; 1485-1542 Leroy,39 hsehlds,Northeast,4,"1900 Marin Avenue, 94707",CC,4,blue,CN list,7/9/2008
N78,Northside EmPrep,Northside EmPrep Group,LaLoma fr LeConte to LaVereda on north; 1 bl north of Cedar to 1 bl west of LaLoma,85 hsehlds,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,CN list,7/9/2008
O25,Oakvale Disaster Prep,Oakvale Ave Disater Preparedness,3-68 Oakvale btwn Claremont&Domingo,34 houshlds;15+members;long term org,Southeast,3,"2710 Russell Street, 94705",CC,4,blue,Meeting 5-20-10,6/29/2010
O62,Ordway Street Group,Ordway Street Group,Ordway between Hopkins and Sonoma,,Central,6,"999 Cedar Street, 94710",CC,4,blue,Email 6-25-12,6/25/2012
O64,Oregon Street-1900,Berkeley Bowl Neighbors,Oregon between MLK&Adeline,,Central,5,"2680 Shattuck Avenue, 94704",O,2,green,Pam Grossman,11/15/2017
O65,Oregon Street 2100-2200,Oregon St-LeConte Neighborhood,2100-2200 Oregon Street,,Central,5,"2680 Shattuck Avenue, 94704",CC,4,blue,Fall '08 contact,11/1/2008
O66,Oregon-Regent Neighborhood,Oregon-Regent Neighborhood,Oregon btwn Telegraph&Regent; Regent btwn Stuart&Russell,,Southeast,3,"2710 Russell Street, 94705",CP,4,blue,Email 6-18-12,6/25/2012
O95,Oxford  900,Oxford Street 900 block,900 block Oxford Street,,Northeast,4,"1900 Marin Avenue, 94707",O,2,green,Meeting 1-29-09,2/1/2009
O96,Oxford-1000,1000 block of Oxford (?nr Marin),1000 block of Oxford,,Northeast,4,"1900 Marin Avenue, 94707",?,?,?,Lynn Email,11/9/2011
P24,Parker-1700,1700 block of Parker btwn Grant & McGee,,,Central,5,"2680 Shattuck Avenue, 94704",?,?,?,,
P25,Panoramic Hill Assn,Panoramic Hill Assn,"all of Panoramic Way, Panoramic Pl, Canyon Road, Orchard Ln, Mosswood Rd, Arden Wy, Dwight Pl+3000-4000 blocks Dwight Way",,Southeast,3,"2710 Russell Street, 94705",CC,4,blue,Lynn email,9/29/2009
P25.5,Park Hills,Park Hills Emergency Preparedness,Park Hills Neighborhood off Shasta Road above Grizzly Peak,210 house org into 12 subgrs of 20 houses;steering comm; radios; appl for cache,Northeast,7,"3000 Shasta Road, 94708",O,3,red,Meeting 5-19-11,5/23/2011
P26,Parker-Blake-Dana,Blarker BDP:Blake-Dana-Parker BDP,Parker&Blake 2200-2300 btwn Dana/Fulton; 2500 blocks: coop apts; senior apt complex,100+ households;apt dwellers,Central,5,"2680 Shattuck Avenue, 94704",O,2,green,Zoom mtg 8-31-20,9/4/2020
P50,Peralta-700,700 Peralta,Between Portland & Washington,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,3,red,TONA 2-12-09,2/17/2009
P52,Peralta-1200,Peralta Neighbors,Peralta btwn Gilman&Posen  (to Codornices Creek),45-50 houshlds,,6,"999 Cedar Street, 94710",O,2-Jan,?,,
P55,Piedmont Ave-2800,Piedmont 2800 Earthquake Preparedness Group,"2800 block of Piedmont Ave; plus a few households on Stuart, Russell",29 households,Southeast,3,"2710 Russell Street, 94705",O,2,green,Pam Grossman,8/8/2013
P75,Prince-2700-2800,Prince Street/Claremont Group,Prince St between College and Claremont,,Southeast,3,"2710 Russell Street, 94705",CC,4,blue,Meeting 1/28/10,1/30/2010
P78,Prospect,Prospect St Danger Zone,"Prospect, Hillside Ct, part of Dwight Way",,Central,3,"2710 Russell Street, 94705",O,2,green,Pam Grossman,11/13/2016
R23,Redwood Gardens,Redwood Gardens Tenant Assn EmPrep,Southside of ClarkKerr campus; Derby east of Piedmont,180 Resident; seniors,Northwest,3,"2710 Russell Street, 94705",O,2,green,Email-Stefen,6/12/2018
R32,Regal Road-Cragmont,Regal Road-Cragmont,Regal Road btwn Cragmont&Cragmont Rock Park,,Northeast,7,"3000 Shasta Road, 94708",?,?,?,Solano Stroll,9/15/2011
R34,Regal Block,Regal-Euclid,"900-925 Regal Rd, 900,910,916.920.930 Euclid",,Northeast,7,"3000 Shasta Road, 94708",CP,4,blue,Meeting 1-28-10,1/30/2010
R78,"Rose + Holly, Upper",Rose-Holly Group,"1400 block of Holly, 1500 block of Rose, bit of Buena",,North,4,"1900 Marin Avenue, 94707",CP,4,blue,CN list,7/9/2008
R79,Rose Walk-Leroy-Hawthorne Terr,Rose Walk-Leroy-Hawthorne Terrace,part of Leroy&part of Hawthorne Terrace,,Northeast,4,"1900 Marin Avenue, 94707",O,?,?newer grp?,Pam Grossman,3/7/2009
R80,Rose-Acton Neighbors,,Rose between Sacramento and Action (joining with Keoncrest group 7-18-12 but distinct),,North,6,"999 Cedar Street, 94710",O,2,green,Email,6/12/2012
R87,Russell-Pine,,Russell btwn Claremont&Pine; Pine btwn Russell&Ashby,,Southeast,3,"2710 Russell Street, 94705",O,2,green,Pam Grossman,4/26/2012
R871,Russell-Piedmont-Kelsey,Russell Neighborhood-Zone B,Russell fr Pine to Piedmont; Kelsey btwn Russell&Palm Ct; Piedmont btwn Russell&Ashby,,Southeast,3,"2710 Russell Street, 94705",O,2,green,Pam Grossman,4/30/2012
R88,Russell-McGee,Russell McGee Neighborhood,Russell-McGee,,South,5,"2680 Shattuck Avenue, 94704",O,1,yellow,Email inquiry,10/31/2011
S01,Sacramento-1500,,Sacramento btwn Cedar&Rose,25-30 households,North,4,"1900 Marin Avenue, 94707",CC,4,blue,Pam Grossman,1/29/2018
S05,Sacramento-2100,,2100 block of Sacramento between Addison & Allston,,South,2,"2029 Berkeley Way, 94704",?,1,yellow,Email inquiry,8/29/2016
S10,San Antonio-Avis-Arlington,SALSA Emergency Neighborhood Group,"San Antonio, Avis, San Luis+2 blocks of Arlington",,Northeast,4,"1900 Marin Avenue, 94707",O,2,green,Meeting 1-29-09,2/1/2009
S11,Santa Barbara/Indian Rock,SBIRP,Santa Barbara from Marin to Montrose; Indian Rock from SB down to 835 on south; to San Luis on north,,Northeast,4,"1900 Marin Avenue, 94707",O,3,red,Meeting 1-29-09,2/1/2009
S11.5,Santa Barbara Central,Santa Barbara Road Central,"715-767 Santa Barbara, 1-190 Montrose, 758-780 Spruce, 711-740 San Luis",,Northeast,4,"1900 Marin Avenue, 94707",O,2,green,Email-Norine,12/7/2011
S11.7,Santa Barbara North,,Northampton to The Arlington,,Northeast,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,9/21/2012
S12,San Diego-700,700 San  Diego Road,700 block of San Diego,,Northeast,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,3/7/2009
S125,San Diego-Indian Rock,San Diego-Indian Rock,793-824 San Diego; 835-916 Indian Rock btwn San LuisOxford,,Northeast,4,"1900 Marin Avenue, 94707",CC,4,blue,email 7-10,7/22/2010
S14,San Lorenzo-1700,1700 San Lorenzo,San Lorenzo btwn Ensenada & Colusa,,Thousand Oaks,4,"1900 Marin Avenue, 94707",CC,4,blue,Meeting 11-17-11,12/9/2011
S15,San Lorenzo-1800,1800 San Lorenzo,1800 blk San Lorenzo btwn Colusa&Alameda; few houses on Colusa&Alameda,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,TONA 2-12-09,2/17/2009
S155,San Lorenzo ?,,?,,Thousand Oaks,4,"1900 Marin Avenue, 94707",?,?,?,TONA 2-12-09,2/17/2009
S16,Santa Fe-1300,1300 Santa Fe,between Gilman and Camellia,,North,6,"999 Cedar Street, 94710",CP,4,blue,CN list,7/9/2008
S185,San Luis-North,NoSaLu,San Luis Road btwn Arlington & Southampton,51 households,Northeast,4,"1900 Marin Avenue, 94707",O,4,blue,Meeting 2-16-12,2/26/2012
S200,San Pablo 1970 apt,,26 unit apart complex,,West,6,"999 Cedar Street, 94710",?,1,?,Training-Sandy,5/20/2014
S35,"Scenic Avenue, North-1300-1400",Scenic Avenue (No)Neighborhood Group,"1300, 1400 Scenic; Spring Way (between Vine and Rose)",,Northeast,4,"1900 Marin Avenue, 94707",O,3,red,CN list,7/9/2008
S78,Spruce-Halkin-Alamo,SHAPE Neighborhood Group,600 block Spruce+Halkin Lane+Alamo Avenue,54 households,Northeast,7,"3000 Shasta Road, 94708",O,3,red,CN list,7/9/2008
S79,Shattuck Ave-900,900 Shattuck Avenue,900 block of Shattuck between Marin and Los Angeles,,Northeast,4,"1900 Marin Avenue, 94707",CP,4,blue,Meeting 1-29-09,2/1/2009
S790,Shattuck-Eunice,Shattuck-Eunice??,Two blocks of Shattuck ??between Eunice&Walnut OR Eunice btwn Shattuck-Walnut??,,Northeast,4,"1900 Marin Avenue, 94707",O,1,?,Meeting 5-19-11,5/23/2011
S791,Shattuck Ave-1000,1000 Shattuck Avenue,1000 bl Shattuck btwn Los Angeles&Walnut,20 households,Northeast,4,"1900 Marin Avenue, 94707",CC,4,blue,Cache list-Sara Holmes,6/9/2009
S792,Shattuck Ave-1100,1100 Shattuck Avenue,1100 block Shattuck (Eunice/Walnut); 1100 block Amador,,Northeast,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,3/7/2009
S793,Shattuck-Rose,Shattuck-Rose,?near Live Oak Park-one interested resident; not organized,,North,4,"1900 Marin Avenue, 94707",?,1,?,Meeting 11-18-10,11/23/2010
S798,Sierra Sreet,Sierra Street Neighborhood Group,Sierra; 1710-1736 Sonoma;1709-37 Madera,57 households,Central,4,"1900 Marin Avenue, 94707",CP,4,blue,Meeting,4/26/2012
S80,66th St Neighborhood Group,66th St Neighborhood Group,66thSt from Sacramento to Oakland border near Herzog St,,West,1,"2442 Eighth Street, 94710",CC,4,blue,Email list,6/1/2009
S80.5,67th St-Acton to Mabel,67th St-Acton to Mabel,67th Street between Acton and Mabel,,South,1,"2442 Eighth Street, 94710",O,2,green,Pam Grossman,4/2/2014
S81,Santa Clara Avenue,Santa Clara Avenue,Santa Clara Ave between San Ramon and Thousand Oaks,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,3?,red,CN list,7/9/2008
S89,Santa Rosa Avenue,Santa Rosa Avenue Neighborhood Watch Group,all of Santa Rosa Avenue-btwn San Lor & Thous Oaks Blvd,,Thousand Oaks,4,"1900 Marin Avenue, 94707",CC,4,blue,CN list,7/9/2008
S89.3,Seventh Street-2400,,"2400 block of 7th St, between Channing&Dwight",,Southwest,6,"999 Cedar Street, 94710",?,1?,?,?,
S89.4,Seventh-2200,,7th St btwn Allston & Bancroft. 2200 block,,Southwest,1,"2442 Eighth Street, 94710",O,2,green,Pam Grossman,11/11/2016
S89.6,Sonoma-1800,,"1800 Sonoma Ave, Hopkins to Colusa",,North,4,"1900 Marin Avenue, 94707",?,?,green?,Website signup?,4/18/2021
S891,Southampton-Somerset-Arlington,,"Southampton, San Diego Road, Somerset & Arlington",,Northeast,4,"1900 Marin Avenue, 94707",?,?,greenC557,Pam Grossman,5/2/2012
S891.5,Spaulding Avenue,,Spaulding between Allston & Bancroft,,Central,2,"2029 Berkeley Way, 94704",O,2,green,Pam Grossman,11/21/2013
S892,Spruce-Arch-Corona Ct,SPARCC,"Spruce (1100 blk), Arch (1100 blk), Corona Ct",,Northeast,7,"3000 Shasta Road, 94708",O,1,yellow,Meeting 11-17-11,12/7/2011
S893,Spruce-Rose,,??Spruce at Rose??,,Northeast,7,"3000 Shasta Road, 94708",?,?,?,Meeting 11-17-11,12/11/2011
S894,Spruce-700,,700 block of Spruce btwn Montrose & Halkin,40 households,Northeast,4,"1900 Marin Avenue, 94707",O,3,green,Email Zweben,4/30/2020
S895,Sterling North,Sterling North,1050-1120 Sterling-Keeler to Twain,,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,Meeting 3-11-10,3/24/2010
S896,Sterling-Whitaker-Stevenson,SSWATM Neighborhood Watch,"Sterling,Stevenson Path, Whitaker, Ajax, Twain, Miller",was cache grp?stolen,Northeast,7,"3000 Shasta Road, 94708",CP,4,blue,N Leimkuhler,4/22/2013
S90,Stuart St-2300,2300 Stuart Street,2300 block of Stuart,,Southeast,5,"2680 Shattuck Avenue, 94704",CC,4,blue,Email list,6/1/2009
S91,Stuart St-2200,Stuart Street Neighbors Actively Prepared,2200 block Stuart btwn Fulton&Ellsworth,,Southeast,5,"2680 Shattuck Avenue, 94704",?,?,?,Meeting 3-11-10,1/30/2010
S99,Strawberry Creek Lodge,Strawberry Crk Lodge Tenants Assn,1320 Addison St btwn Acton&West Sts,,Central,1,"2442 Eighth Street, 94710",O,4,blue,Meeting 1-29-09,2/1/2009
T23,Tacoma1800-Alameda,1800 Tacoma,Tacoma from Laurel Ln to Alameda; 2 blocks of Alameda on either side of inters wth Tacoma,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,3,red,TONA 2-12-09,2/17/2009
T24,Tacoma-1600,,Tacoma between Solano & Ensenada,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,1,?,CN contact,3/3/2013
T25,Talbot-1300,1300 Talbot,1300 block-btwn Camelia/SantaFe &Gilman; 1222Gilman,,Central,6,"999 Cedar Street, 94710",O,3,red,Pam Grossman,9/19/2009
T26,Talbot-1100-1200,1100-1200 Talbot,Talbot between Gilman and Dartmouth,,North,6,"999 Cedar Street, 94710",O,2,green,Pam Grossman,11/6/2013
T35,Tenth-2100,10th Street,Tenth Street betwn Addison&Allston,,West,1,"2442 Eighth Street, 94710",O,2,green,Meeting 5-30-13,6/17/2013
T36,Tenth-2200,10th Street,Tenth Street betwn Allston&Bancroft-2200 block; a few houses on Bancroft/Allston;few north on 10th St,,West,1,"2442 Eighth Street, 94710",O,4,blue,Pam Grossman,7/14/2014
T37,Tenth-2300-2400,10th Street PEG,Tenth Street betwn Bancroft&Dwight-2300-2400 blocks,,West,1,"2442 Eighth Street, 94710",O,4,blue,Meeting 2-20-14,3/4/2014
T38,Terrace View Neighbors,Terrace View Park Neighbors,Fairlawn Dr bounded by Arcade Av & Avenida Dr,,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,CN list,7/9/2008
T56,Thousand Oaks-1800,1800 Thousand Oaks,Thousand Oaks Blvd between Alameda/Arlington,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,1,yellow,CERT 2-7-09,2/8/2009
T57,Thousand Oaks-1900,1990 Thousand Oaks,1900 block of Thousand Oaks Blvd; some 600 San Fernando; some 600 Arlington,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,Pam's list 1-12,3/15/2012
T84,Tulare Street,Tulare Street,Tulare between Solano & Sonoma (2 blocks),,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,Meeting 3-10-11,3/31/2011
U54,University Terrace Community,University Terrace Community,"Allston, Jefferson, California, Addison","75 unit condo complex-9 buildings,each w/ coord.",Central,2,"2029 Berkeley Way, 94704",CC,4,blue,CN list,7/9/2008
UC85,UC Berkeley Disaster Team,UC Berkeley,n/a,,Central,zna, ,O,2,zna,n/a,3/7/2009
V45,Vermont-Colorado,Vermont Avenue Block Group,First block of Vermont Avenue and Colorado Ave (nr Kensington),,Northeast,4,"1900 Marin Avenue, 94707",CP,4,blue,Fall '08 contact,11/1/2008
V455,Vermont North-VANNA,VANNA-Vermont Ave North Neighborhood Assn,Vermont fr Maryland to Kensington boundary,,Northeast,4,"1900 Marin Avenue, 94707",CC,4,blue,Meeting 5-20-10,5/22/2010
V55,Vincente-600,600 Vincente,600 block Vincente btwn Thousand Oaks&Colusa,c 25 houses,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,3,red,TONA 2-12-09,2/17/2009
V55.7,Vincente-700,700 block Vincente,Vincente btwn Colusa&Ensenada,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,12/8/2017
V555,Vincente-500,,Vincente between ThousOaks&Vincente Steps,,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,9/9/2014
V56,Vine-McGee,Vine-McGee,1700 block of Vine (Edith to McGee); 1500 block of McGee (Buena to Janes),,Central,4,"1900 Marin Avenue, 94707",O,3,red,Meeting 2-21-13,2/26/2013
V58,Virginia Gardens,Virginia Gardens,"Virginia St from West St (rr tracks)to Acton (1332-1387+1401);all of Virginia Grdn, Franklin (1640-1712), Acton (1692-1712)+1400 Lincoln",8 person steering committee,Central,6,"999 Cedar Street, 94710",CC,4,blue,CN list,7/9/2008
V59,Vistamont Neighborhood,Vistamont Neighborhood-Rochedale Way,Vistamont Ave and Rochedale Way,,Northeast,7,"3000 Shasta Road, 94708",CC,4,blue,Meeting 1-29-09,2/1/2009
W21,Walnut-1100,Walnut Street Neighborhood Group,1100 blk of Walnut btwn Eunice & Shattuck,,North,4,"1900 Marin Avenue, 94707",O,2,green,Pam Grossman,12/19/2011
W24,Walnut-1400,Walnut-1400,1400 Walnut between Vine & Rose,,North,4,"1900 Marin Avenue, 94707",?,?,?,Meeting 3-10-11,3/31/2011
W25,Walnut-1500,Walnut Street-1500,1500 Walnut between Cedar & Vine,,North,4,"1900 Marin Avenue, 94707",O,2,green,phone call,11/3/2009
W27,Walnut House Coop,,1740 Walnut betwn Virginia & Delaware,,North,2,"2029 Berkeley Way, 94704",?,?,yellow,Meeting 7-30-15,8/5/2015
W33,Webster Street,Webster Street Junction,Webster St btwn College & Regent? (or to Telegraph,,Southeast,3,"2710 Russell Street, 94705",O,3,red,,
W35,West-2300-2400,West Street Neighbors,2300-2400 blocks of West Street between Bancroft & Dwight,,West,1,"2442 Eighth Street, 94710",O,2,green,Pam Grossman,3/7/2009
W54,Wildcat Canyon Road,Wildcat Canyon Road,?,,Northeast,7,"3000 Shasta Road, 94708",O,2,green,Pam Grossman,3/7/2009
W55,Willard Neighborhood Assn,"Disaster Prep Committee, Willard Neighborhood Assn",south of UC to Ashby ;east of Telegraph to College,,South,3,"2710 Russell Street, 94705",CC,4,blue,Meeting 1-29-09,1/15/2009
Y56,Yosemite 1800,1800 block Yosemite Road,Yosemite Rd btwn TheAlameda&San Fernando,26 households,Thousand Oaks,4,"1900 Marin Avenue, 94707",O,3,red,Email 11-12-29,11/13/2019
ZBF2014,Berkeley Disaster Prep Fair 2-14,sign-ups from fair,,,n/a,zna, ,z,z,zna,,
ZEmPrep 9-21-17,EmPrep event 9-21-17,,Berkeley,,n/a,zna, ,z,z,zna,,
ZGoKits-2016,GoKit sales-Aug 2016,,,,n/a,zna, ,z,z,zna,Website,8/16/2017
ZHarvestFair,Berkeley fair event 10-17,,,,n/a,zna, ,z,z,zna,,
ZIndivBerk,Indivisible Berkeley event 10-17,,,,n/a,zna, ,z,z,zna,,
ZJUN2013,Juneteenth event - 2013,,,,n/a,zna, ,z,z,zna,,
ZLeC2017,Leconte DP Fair - Mar 2017,,,,n/a,zna, ,z,z,zna,,
Zresiliency 12-17,Berkeley Resiliency Fair 12-17,,,,n/a,zna, ,z,z,zna,,
Zrumford,Rumford dedication-7-17-16,BDPNN info table,Berkeley,,n/a,zna, ,z,z,zna,,
ZSoBerkFair,South Berkeley Fair  7-28-19,,,,,zna, ,z,z,zna,,
ZSS2010,Solano Stroll-2010,n/a,,,n/a,zna, ,z,z,zna,Stroll list 9-12-10,9/15/2010
ZSS2011,Solano Stroll-2011,n/a,,,n/a,zna, ,z,z,zna,,
ZSS2012,Solano Stroll-2012,n/a,,,n/a,zna, ,z,z,zna,,
ZSS2013,Solano Stroll-2013,n/a,,,n/a,zna, ,z,z,zna,,
ZSS2014,Solano Stroll-2014,n/a,,,n/a,zna, ,z,z,zna,,
ZSS2015,Solano Stroll-2015,n/a,,,n/a,zna, ,z,z,zna,,
ZSS2016,Solano Stroll-2016,n/a,,,n/a,zna, ,z,z,zna,,
ZSS2017,Solano Stroll-2017,n/a,,,n/a,zna, ,z,z,zna,,
ZSS2018,Solano Stroll-2018,n/a,,,n/a,zna, ,z,z,zna,Stroll list 9-9-18,
ZZ9,Group affiliation unknown,unknown,group unknown/not yet affiliated,,unknown,zna, ,z,z,zna,unknown,1/29/2009
ZZ9-Albany,Albany resident,,,,n/a,zna, ,z,z,zna,,
ZZ9-Antioch,Antioch resident,,,,,zna, ,z,z,zna,,
ZZ9-El Cerrito,El Cerrito resident,,,,n/a,zna, ,z,z,zna,,
ZZ9-Emery,Emeryville resident,,,,n/a,zna, ,z,z,zna,,
ZZ9-Fire 1,Fire District 1 Unaffiliated,,Fire District 1,,Southwest,1,"2442 Eighth Street, 94710",z,z,zna,,
ZZ9-Fire 2,Fire District 2 Unaffiliated,,Fire District 2,,Central,2,"2029 Berkeley Way, 94704",z,z,zna,,
ZZ9-Fire 3,Fire District 3 Unaffiliated,,Fire District 3,,East/SE,3,"2710 Russell Street, 94705",z,z,zna,,
ZZ9-Fire 4,Fire District 4 Unaffiliated,,Fire District 4,,North,4,"1900 Marin Avenue, 94707",z,z,zna,,
ZZ9-Fire 5,Fire District 5 Unaffiliated,,Fire District 5,,South,5,"2680 Shattuck Avenue, 94704",z,z,zna,,
ZZ9-Fire 6,Fire District 6 Unaffiliated,,Fire District 6,,Northwest,6,"999 Cedar Street, 94710",z,z,zna,,
ZZ9-Fire 7,Fire District 7 Unaffiliated,,Fire District 7,,Northeast,7,"3000 Shasta Road, 94708",z,z,zna,,
ZZ9-Kens,Kensington Public Safety,Kensington,Kensington,,n/a,zna, ,z,z,zna,,
ZZ9-Kens-Grp1,Kensington-Norwood,Kensington,Norwood Ave group-Kensington,,n/a,zna, ,z,z,zna,,
ZZ9-NALCO,NALCO-Radio Operators,,,,n/a,zna, ,z,z,zna,,
ZZ9-Newark,"Newark resident, work address",,,,,zna, ,z,z,zna,,
ZZ9-Oakland,Oakland resident,,,,n/a,zna, ,z,z,zna,,
ZZ9-Rich,Richmond Disaster Prep,Richmond,Richmond,,n/a,zna, ,z,z,zna,,
ZZ9-WalnutCrk,Walnut Creek residents,,,,,zna, ,z,z,zna,,
ZZ-PathWanderers,Berkeley Path Wanderers,,,,n/a,zna, ,z,z,zna,,